# kanazawa-triples.tsv - Japanese medical vocabulary with English + Latin combining form
# source: kt.kanazawa-med.ac.jp/english/2-1.pdf
# columns: reading<TAB>japanese<TAB>english<TAB>latin<TAB>section
い	胃	stomach	gastr/o	医学用語の基本構造 The Structure of Medical Terms
かんぞう	肝臓	liver	hepat/o	医学用語の基本構造 The Structure of Medical Terms
じんぞう	腎臓	kidney	nephr/o	医学用語の基本構造 The Structure of Medical Terms
しんぞう	心臓	heart	cardi/o	医学用語の基本構造 The Structure of Medical Terms
のう	脳	brain	encephal/o	医学用語の基本構造 The Structure of Medical Terms
せん	腺	gland	aden/o	医学用語の基本構造 The Structure of Medical Terms
ひふ	皮膚	skin	derm/o, dermato/o	医学用語の基本構造 The Structure of Medical Terms
がん	癌	cancer	carcin/o	医学用語の基本構造 The Structure of Medical Terms
くち	口	mouth	stomat/o, or/o	消化器系の用語 The Digestive System
くちびる	唇	lips	cheil/o, labi/o	消化器系の用語 The Digestive System
は	歯	teeth	odont/o, dent/o	消化器系の用語 The Digestive System
しぎん	歯齦	gum	gingiv/o	消化器系の用語 The Digestive System
はにく	歯肉	gum	gingiv/o	消化器系の用語 The Digestive System
こうがい	口蓋	palate	palat/o	消化器系の用語 The Digestive System
した	舌	tongue	gloss/o	消化器系の用語 The Digestive System
いんとう	咽頭	pharynx	pharyng/o	消化器系の用語 The Digestive System
しょくどう	食道	esophagus	esophag/o	消化器系の用語 The Digestive System
じゅうにしちょう	十二指腸	duodenum	duoden/o	消化器系の用語 The Digestive System
しょうちょう	小腸	small intestine	enter/o	消化器系の用語 The Digestive System
そらちょう	空腸	jejunum	jejun/o	消化器系の用語 The Digestive System
かいちょう	回腸	ileum	ile/o	消化器系の用語 The Digestive System
けっちょう	結腸	colon, large intestine	col/o	消化器系の用語 The Digestive System
だいちょう	大腸	colon, large intestine	col/o	消化器系の用語 The Digestive System
ちゅうすい	虫垂	appendix	append/o, appendic/o	消化器系の用語 The Digestive System
じょうけっちょう	S状結腸	sigmoid colon	sigmoid/o	消化器系の用語 The Digestive System
ちょくちょう	直腸	rectum	rect/o	消化器系の用語 The Digestive System
こうもん	肛門		proct/o, an/o	消化器系の用語 The Digestive System
すいぞう	膵臓	pancreas	pancreat/o	消化器系の用語 The Digestive System
たんのう	胆嚢	gallbladder	cholecyst/o	消化器系の用語 The Digestive System
はやい	速い	fast	tach/y	接尾辞（２） Suffix(2)
おそい	遅い	slow	brad/y	接尾辞（２） Suffix(2)
じんう	腎盂	renal pelvis	pyel/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
にょうかん	尿管	ureter	ureter/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
にょうどう	尿道	urethra	urethr/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
